Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516750707564499141    0.000000    0.000000    0.000000
1    1    1516750708745824751    1.693013    0.846507    0.846507
2    2    1516750709971399340    1.246416    0.830944    0.815944
3    3    1516750711195828405    1.101525    0.826144    0.816707
4    4    1516750712419714845    1.029820    0.823856    0.817069
5    5    1516750713643314935    0.987034    0.822529    0.817260
6    6    1516750714865855418    0.958726    0.821765    0.817969
7    7    1516750716092750810    0.938059    0.820801    0.815065
8    8    1516750717314726229    0.923055    0.820494    0.818347
9    9    1516750718534357218    0.911589    0.820430    0.819920
10    10    1516750719747515638    0.902896    0.820815    0.824295
11    11    1516750720963694481    0.895576    0.818473    0.822247
12    12    1516750722182311235    0.889326    0.818940    0.820603
13    13    1516750723407157342    0.883690    0.818912    0.816429
14    14    1516750724629291239    0.879003    0.819029    0.818241
15    15    1516750725850907580    0.874967    0.819162    0.818588
16    16    1516750727067806664    0.871647    0.819541    0.821761
17    17    1516750728286470533    0.868643    0.820094    0.820571
18    18    1516750729490678496    0.866544    0.821291    0.830421
19    19    1516750730691343863    0.864796    0.822572    0.832872
20    20    1516750731885126386    0.863465    0.823885    0.837674
21    21    1516750733072987496    0.862458    0.825812    0.841849
22    22    1516750734259232322    0.861593    0.828026    0.842996
23    23    1516750735452470961    0.860586    0.830198    0.838055
24    24    1516750736651849296    0.859480    0.831770    0.833765
25    25    1516750737860014142    0.858213    0.832701    0.827702
26    26    1516750739071429075    0.856954    0.833082    0.825481
27    27    1516750740290432875    0.855591    0.833058    0.820342
28    28    1516750741503768418    0.854467    0.832425    0.824174
29    29    1516750742720752066    0.853333    0.831296    0.821704
30    30    1516750743938132823    0.852266    0.829669    0.821436
31    31    1516750745150330062    0.851385    0.827997    0.824948
32    32    1516750746361996631    0.850570    0.826257    0.825310
33    33    1516750747578340486    0.849706    0.824683    0.822136
34    34    1516750748793653580    0.848914    0.823601    0.822833
35    35    1516750750008642334    0.848174    0.823138    0.823053
36    36    1516750751227369835    0.847402    0.822643    0.820528
37    37    1516750752442660862    0.846737    0.822894    0.822848
38    38    1516750753656385457    0.846136    0.822868    0.823910
39    39    1516750754874007713    0.845496    0.822825    0.821273
40    40    1516750756085866249    0.844989    0.823199    0.825179
41    41    1516750757298895332    0.844486    0.823142    0.824383
42    42    1516750758507292240    0.844084    0.823364    0.827543
43    43    1516750759715288103    0.843707    0.823930    0.827817
44    44    1516750760909088559    0.843572    0.825393    0.837661
45    45    1516750762118633966    0.843199    0.825764    0.826757
46    46    1516750763331765897    0.842788    0.826146    0.824313
47    47    1516750764557734580    0.842205    0.825418    0.815682
48    48    1516750765772355494    0.841811    0.825357    0.823302
49    49    1516750766985703525    0.841450    0.825648    0.824166
50    50    1516750768199523825    0.841098    0.825514    0.823845
51    51    1516750769412307616    0.840774    0.825531    0.824549
52    52    1516750770620733101    0.840520    0.825529    0.827523
53    53    1516750771827372344    0.840299    0.825622    0.828748
54    54    1516750773021650973    0.840244    0.825589    0.837326
55    55    1516750774192296966    0.840490    0.828249    0.854229
56    56    1516750775368946627    0.840653    0.830759    0.849871
57    57    1516750776538223405    0.840900    0.834690    0.855230
58    58    1516750777710988938    0.841097    0.837617    0.852685
59    59    1516750778885790164    0.841264    0.840330    0.851208
60    60    1516750780062584039    0.841402    0.842953    0.849766
61    61    1516750781217330223    0.841787    0.847097    0.865991
62    62    1516750782344653356    0.842470    0.852957    0.887057
63    63    1516750783463263750    0.843228    0.859410    0.893966
64    64    1516750784580801837    0.843977    0.865115    0.894824
65    65    1516750785691481929    0.844779    0.869627    0.900349
66    66    1516750786833565452    0.845223    0.872249    0.875593
67    67    1516750788010703820    0.845285    0.871651    0.849518
68    68    1516750789215810138    0.845057    0.869201    0.829802
69    69    1516750790448082593    0.844558    0.864880    0.811509
70    70    1516750791667037381    0.844208    0.861738    0.820375
71    71    1516750792886086462    0.843866    0.856989    0.820312
72    72    1516750794121989851    0.843370    0.849088    0.809125
73    73    1516750795339500200    0.843065    0.842018    0.821348
74    74    1516750796561294984    0.842727    0.834690    0.818468
75    75    1516750797779309771    0.842434    0.827278    0.821008
76    76    1516750798987637569    0.842238    0.822770    0.827590
77    77    1516750800190802685    0.842093    0.821011    0.831141
78    78    1516750801394833348    0.841945    0.821084    0.830544
79    79    1516750802599069857    0.841799    0.822978    0.830402
80    80    1516750803801464107    0.841672    0.824102    0.831674
81    81    1516750805003749301    0.841550    0.825242    0.831749
82    82    1516750806196967749    0.841508    0.828159    0.838070
83    83    1516750807384835285    0.841512    0.830197    0.841845
84    84    1516750808579913690    0.841456    0.832042    0.836765
85    85    1516750809784447106    0.841323    0.832977    0.830197
86    86    1516750810976821598    0.841292    0.834085    0.838663
87    87    1516750812171419968    0.841245    0.834682    0.837101
88    88    1516750813356701406    0.841272    0.835990    0.843681
89    89    1516750814526440798    0.841421    0.838408    0.854891
90    90    1516750815687921641    0.841631    0.841294    0.860970
91    91    1516750816840033207    0.841908    0.844860    0.867971
92    92    1516750817983161149    0.842249    0.848450    0.874793
93    93    1516750819109303317    0.842711    0.852917    0.887987
94    94    1516750820226361206    0.843231    0.858631    0.895209
