Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516749240595835859    0.000000    0.000000    0.000000
1    1    1516749240734442960    14.429275    7.214637    7.214638
2    2    1516749240837365676    12.420827    8.280551    9.716028
3    3    1516749241010631420    9.643305    7.232479    5.771481
4    4    1516749241152034168    8.989599    7.191679    7.071998
5    5    1516749241385028455    7.602707    6.335589    4.291951
6    6    1516749241504420707    7.704289    6.603676    8.375753
7    7    1516749241639753871    7.663437    6.705507    7.389172
8    8    1516749241745993985    7.825011    6.955565    9.412641
9    9    1516749241894595227    7.699656    6.929690    6.729419
10    10    1516749242050536837    7.561691    6.874265    6.412657
11    11    1516749242163825186    7.653113    6.996029    8.827033
12    12    1516749242317826208    7.549404    6.754655    6.493463
13    13    1516749242465933764    7.486239    6.871424    6.751850
14    14    1516749242567472635    7.607892    7.064949    9.848445
15    15    1516749242680681239    7.674430    7.718117    8.833251
16    16    1516749242800381049    7.711341    7.716286    8.354232
17    17    1516749242954156414    7.632550    7.608019    6.502992
18    18    1516749243061072192    7.707172    7.604110    9.353156
19    19    1516749243222537314    7.614112    7.530449    6.193288
20    20    1516749243336653442    7.661947    7.775344    8.763003
21    21    1516749243460225043    7.680521    7.713670    8.092474
22    22    1516749243618166845    7.610020    7.690293    6.331446
23    23    1516749243738906776    7.635844    7.855626    8.282264
24    24    1516749243848856185    7.685166    7.804065    9.095092
25    25    1516749244003202993    7.630525    7.561312    6.478916
26    26    1516749244115311952    7.671596    7.604962    8.919894
27    27    1516749244277283443    7.605704    7.557853    6.173926
28    28    1516749244437657647    7.548502    7.264351    6.235417
29    29    1516749244602716184    7.487122    7.245438    6.058457
30    30    1516749244724163412    7.509094    7.207156    8.234029
31    31    1516749244893491149    7.445921    6.977072    5.905707
32    32    1516749245057309863    7.396659    6.948580    6.104309
33    33    1516749245216106849    7.358876    6.769564    6.297349
34    34    1516749245337872933    7.380794    6.715841    8.212467
35    35    1516749245457495619    7.404879    6.876195    8.359618
36    36    1516749245624957422    7.357150    6.624072    5.971511
37    37    1516749245743004605    7.382699    6.822580    8.471189
38    38    1516749245849699706    7.423108    7.081942    9.372502
39    39    1516749245963402172    7.452167    7.349235    8.794884
40    40    1516749246134435791    7.402593    7.090829    5.846804
41    41    1516749246258004758    7.417652    7.328619    8.092647
42    42    1516749246374690161    7.440921    7.590822    8.570052
43    43    1516749246542853876    7.398666    7.537232    5.946586
44    44    1516749246712923826    7.356442    7.272458    5.879934
45    45    1516749246840619411    7.366148    7.230011    7.831124
46    46    1516749246980225090    7.361707    7.378616    7.163032
47    47    1516749247093958705    7.386749    7.402176    8.792475
48    48    1516749247217207083    7.400280    7.312575    8.113697
49    49    1516749247396680540    7.352028    6.977012    5.571855
50    50    1516749247535960279    7.348571    7.135087    7.179795
