Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516749002484392837    0.000000    0.000000    0.000000
1    1    1516749002519805127    56.477568    28.238785    28.238784
2    2    1516749002544614318    49.816111    33.210743    40.307642
3    3    1516749002571300097    46.026074    34.519558    37.473143
4    4    1516749002607206306    40.712147    32.569717    27.850336
5    5    1516749002632849899    40.415726    33.679771    38.996095
6    6    1516749002657656709    40.400806    34.629261    40.311511
7    7    1516749002682529094    40.376255    35.329224    40.205232
8    8    1516749002707226102    40.388943    35.901283    40.490735
9    9    1516749002732004530    40.385815    36.347233    40.357685
10    10    1516749002756852516    40.372946    36.702679    40.244710
11    11    1516749002781728967    40.358365    38.179035    40.198660
12    12    1516749002806315741    40.382339    38.211487    40.672274
13    13    1516749002833863378    40.060601    38.086056    36.300754
14    14    1516749002861870885    39.737410    39.267338    35.704713
15    15    1516749002889607333    39.485261    38.947266    36.053643
16    16    1516749002917043169    39.292701    38.552513    36.448680
17    17    1516749002941921273    39.341817    38.551662    40.195989
18    18    1516749002966539163    39.407124    38.563427    40.620866
19    19    1516749002993505524    39.284034    38.240772    37.083239
20    20    1516749003018260386    39.335599    38.254398    40.396105
21    21    1516749003042855403    39.393867    38.295624    40.658642
22    22    1516749003067363450    39.453104    38.307175    40.802925
23    23    1516749003091967951    39.501289    38.743984    40.642970
24    24    1516749003118770616    39.408694    38.925690    37.309723
25    25    1516749003143818056    39.428277    39.337444    39.924240
26    26    1516749003170667669    39.342839    39.428368    37.244485
27    27    1516749003195482905    39.376165    39.438141    40.297823
28    28    1516749003220029920    39.421612    39.449169    40.738151
29    29    1516749003245261588    39.428614    39.720989    39.632735
30    30    1516749003271733329    39.373054    39.451942    37.776133
31    31    1516749003301578459    39.158790    38.651367    33.506304
32    32    1516749003326458146    39.189359    38.595928    40.193432
33    33    1516749003351302307    39.219782    38.560257    40.250906
34    34    1516749003375860573    39.261096    38.896889    40.719487
35    35    1516749003400592985    39.292724    38.944614    40.432773
36    36    1516749003425267664    39.325104    39.277298    40.527376
37    37    1516749003450081606    39.350152    39.277500    40.299925
38    38    1516749003474929919    39.372579    39.231071    40.244181
39    39    1516749003499874889    39.390160    39.275246    40.088242
40    40    1516749003529798038    39.219242    38.749973    33.418943
41    41    1516749003560680015    39.023042    38.594906    32.381347
42    42    1516749003594078643    38.749707    37.366344    29.941350
43    43    1516749003618751537    38.788436    37.390274    40.530308
44    44    1516749003643416971    38.825766    37.375298    40.542567
45    45    1516749003668067945    38.862015    37.386677    40.566348
46    46    1516749003693095790    38.884657    37.337379    39.955498
47    47    1516749003717952796    38.911769    37.331375    40.230107
48    48    1516749003742567494    38.945308    37.363960    40.626133
49    49    1516749003769408861    38.910021    37.101074    37.255927
50    50    1516749003794139785    38.938820    37.829819    40.435206
51    51    1516749003822228979    38.868736    38.233761    35.600879
52    52    1516749003846882240    38.899385    39.556400    40.562585
53    53    1516749003871770357    38.922355    39.522751    40.179818
