Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516747958481340620    0.000000    0.000000    0.000000
1    1    1516747958687250196    9.713001    4.856501    4.856501
2    2    1516747958883680553    7.456381    4.970921    5.090863
3    3    1516747959079496925    6.687215    5.015411    5.106825
4    4    1516747959275127832    6.298917    5.039134    5.111667
5    5    1516747959470706931    6.064488    5.053740    5.113021
6    6    1516747959666635115    5.905705    5.062033    5.103911
7    7    1516747959862391718    5.792689    5.068604    5.108385
8    8    1516747960057968990    5.708384    5.074119    5.113069
9    9    1516747960253634227    5.642406    5.078166    5.110770
10    10    1516747960449289249    5.589577    5.081433    5.111037
11    11    1516747960645283593    5.545433    5.107165    5.102188
12    12    1516747960841248709    5.508689    5.108379    5.102949
13    13    1516747961037076516    5.477874    5.108349    5.106527
14    14    1516747961232555452    5.452137    5.108746    5.115641
15    15    1516747961427970911    5.429931    5.109173    5.117302
16    16    1516747961623660731    5.410015    5.109795    5.110128
17    17    1516747961819545319    5.392120    5.109461    5.105047
18    18    1516747962015119396    5.376681    5.109469    5.113152
19    19    1516747962210844659    5.362643    5.109313    5.109202
20    20    1516747962406386117    5.350256    5.109609    5.114005
21    21    1516747962602240333    5.338640    5.109975    5.105839
22    22    1516747962797914675    5.328300    5.110734    5.110532
23    23    1516747962993800647    5.318607    5.110582    5.105011
24    24    1516747963189488021    5.309944    5.110038    5.110192
25    25    1516747963384926875    5.302242    5.109977    5.116690
26    26    1516747963587732110    5.287491    5.091465    4.930839
27    27    1516747963783860298    5.280508    5.090833    5.098706
28    28    1516747963979615742    5.274381    5.090364    5.108415
29    29    1516747964175140268    5.268889    5.090883    5.114448
30    30    1516747964371052503    5.263415    5.089922    5.104326
31    31    1516747964566924765    5.258328    5.089876    5.105368
32    32    1516747964762656211    5.253676    5.089728    5.109041
33    33    1516747964958594040    5.249138    5.089593    5.103660
34    34    1516747965154369701    5.244994    5.089365    5.107887
35    35    1516747965349862182    5.241303    5.089226    5.115286
36    36    1516747965545260256    5.237885    5.108483    5.117758
37    37    1516747965741267674    5.234212    5.108799    5.101848
38    38    1516747965937095470    5.230859    5.108610    5.106527
39    39    1516747966132608187    5.227892    5.108641    5.114757
40    40    1516747966328066894    5.225109    5.109825    5.116170
41    41    1516747966523862731    5.222242    5.110024    5.107361
42    42    1516747966719536882    5.219589    5.110174    5.110537
43    43    1516747966915161448    5.217090    5.110992    5.111832
44    44    1516747967110633933    5.214796    5.111784    5.115810
45    45    1516747967306114759    5.212598    5.111814    5.115591
46    46    1516747967501705994    5.210432    5.111310    5.112704
47    47    1516747967697372704    5.208315    5.112200    5.110731
48    48    1516747967893070203    5.206269    5.112541    5.109927
49    49    1516747968088604938    5.204395    5.112483    5.114181
50    50    1516747968284216176    5.202555    5.112084    5.112181
51    51    1516747968479664416    5.200872    5.112993    5.116444
52    52    1516747968682317271    5.195581    5.094814    4.934547
53    53    1516747968878568060    5.193692    5.093189    5.095521
54    54    1516747969074262931    5.192146    5.092612    5.109996
55    55    1516747969270186468    5.190546    5.091464    5.104032
56    56    1516747969465641557    5.189224    5.091817    5.116265
57    57    1516747969661656550    5.187689    5.090914    5.101651
58    58    1516747969857552985    5.186260    5.090399    5.104738
59    59    1516747970053055130    5.185057    5.090483    5.115033
60    60    1516747970248647283    5.183854    5.090532    5.112680
61    61    1516747970444269502    5.182677    5.090081    5.111894
62    62    1516747970640119412    5.181441    5.107769    5.105951
63    63    1516747970835530631    5.180429    5.109960    5.117413
64    64    1516747971031437053    5.179243    5.109407    5.104478
65    65    1516747971227171968    5.178164    5.109900    5.108951
66    66    1516747971422818957    5.177152    5.109399    5.111247
67    67    1516747971618618622    5.176110    5.109961    5.107261
68    68    1516747971814542906    5.175051    5.109889    5.104013
69    69    1516747972010447022    5.174030    5.108839    5.104538
70    70    1516747972205795440    5.173247    5.109475    5.119059
71    71    1516747972401350879    5.172410    5.109649    5.113639
72    72    1516747972597355964    5.171431    5.109245    5.101908
73    73    1516747972792931163    5.170634    5.108817    5.113123
74    74    1516747972988818999    5.169747    5.108865    5.104962
75    75    1516747973184456638    5.168972    5.109119    5.111491
76    76    1516747973380194339    5.168183    5.108882    5.108878
77    77    1516747973582859266    5.165043    5.091026    4.934253
78    78    1516747973778774703    5.164265    5.091049    5.104243
79    79    1516747973974602379    5.163535    5.091247    5.106530
80    80    1516747974170432934    5.162823    5.089998    5.106455
81    81    1516747974366085713    5.162185    5.089745    5.111095
82    82    1516747974561871398    5.161521    5.090314    5.107626
83    83    1516747974757999571    5.160764    5.088881    5.098707
84    84    1516747974953970038    5.160075    5.088667    5.102810
85    85    1516747975149486468    5.159542    5.088982    5.114660
86    86    1516747975345303568    5.158930    5.088776    5.106806
87    87    1516747975540990132    5.158371    5.106911    5.110213
88    88    1516747975737030972    5.157719    5.106584    5.100978
89    89    1516747975933047221    5.157089    5.106092    5.101618
90    90    1516747976128844310    5.156537    5.106180    5.107328
91    91    1516747976324577125    5.156015    5.105971    5.109005
92    92    1516747976520149095    5.155551    5.106528    5.113207
93    93    1516747976716070495    5.154998    5.107068    5.104088
94    94    1516747976911906774    5.154481    5.107417    5.106306
95    95    1516747977107783209    5.153963    5.106478    5.105259
96    96    1516747977303051557    5.153623    5.107910    5.121158
97    97    1516747977498738020    5.153176    5.107910    5.110216
98    98    1516747977694472178    5.152726    5.108710    5.108970
99    99    1516747977890335386    5.152250    5.109110    5.105604
100    100    1516747978086038110    5.151826    5.109356    5.109791
101    101    1516747978281668549    5.151430    5.109623    5.111679
102    102    1516747978477321462    5.151035    5.109412    5.111092
103    103    1516747978679892863    5.148884    5.092110    4.936531
104    104    1516747978875927147    5.148425    5.091597    5.101149
105    105    1516747979071854521    5.148002    5.091465    5.103932
106    106    1516747979267492281    5.147658    5.090507    5.111488
107    107    1516747979463222369    5.147298    5.090394    5.109077
108    108    1516747979659139321    5.146899    5.089921    5.104204
109    109    1516747979855004986    5.146520    5.089914    5.105540
110    110    1516747980051487273    5.146001    5.087896    5.089517
111    111    1516747980247208736    5.145671    5.087660    5.109302
112    112    1516747980442975277    5.145336    5.087366    5.108125
113    113    1516747980638942613    5.144961    5.104516    5.102891
114    114    1516747980834590242    5.144666    5.105524    5.111230
115    115    1516747981030309444    5.144359    5.106066    5.109361
116    116    1516747981226243167    5.144010    5.105294    5.103767
117    117    1516747981422156156    5.143671    5.104818    5.104307
118    118    1516747981617603717    5.143441    5.106041    5.116462
119    119    1516747981813611780    5.143091    5.105670    5.101831
120    120    1516747982009658350    5.142739    5.106806    5.100829
121    121    1516747982205203971    5.142501    5.107265    5.113896
122    122    1516747982400776792    5.142262    5.107770    5.113185
123    123    1516747982596474438    5.141999    5.108474    5.109923
124    124    1516747982792486502    5.141675    5.107523    5.101727
125    125    1516747982988357695    5.141385    5.107126    5.105396
126    126    1516747983184033526    5.141140    5.107799    5.110493
127    127    1516747983379679757    5.140905    5.108495    5.111266
128    128    1516747983582346127    5.139236    5.089726    4.934218
129    129    1516747983778552465    5.138906    5.089212    5.096675
130    130    1516747983974360242    5.138662    5.089830    5.107049
131    131    1516747984170313654    5.138391    5.088774    5.103254
132    132    1516747984365923763    5.138194    5.088678    5.112210
133    133    1516747984561622871    5.137981    5.088674    5.109885
134    134    1516747984757483477    5.137740    5.089067    5.105672
135    135    1516747984953058095    5.137559    5.089834    5.113138
136    136    1516747985148925061    5.137323    5.089339    5.105506
137    137    1516747985344548092    5.137138    5.089400    5.111873
138    138    1516747985540150580    5.136959    5.107762    5.112409
139    139    1516747985735668469    5.136799    5.109559    5.114622
140    140    1516747985931782110    5.136529    5.108761    5.099084
141    141    1516747986127941846    5.136255    5.108222    5.097886
142    142    1516747986323572356    5.136083    5.108169    5.111677
143    143    1516747986519222549    5.135909    5.108297    5.111163
144    144    1516747986715081329    5.135699    5.108301    5.105720
145    145    1516747986910761624    5.135525    5.108026    5.110377
146    146    1516747987106700773    5.135307    5.107838    5.103625
147    147    1516747987302301839    5.135151    5.107895    5.112447
148    148    1516747987498006591    5.134980    5.107628    5.109738
149    149    1516747987693629817    5.134825    5.107353    5.111867
150    150    1516747987889725768    5.134590    5.107399    5.099544
151    151    1516747988085907298    5.134343    5.107342    5.097320
152    152    1516747988281625459    5.134179    5.107114    5.109388
153    153    1516747988477324603    5.134021    5.106986    5.109884
154    154    1516747988679834347    5.132706    5.089698    4.938034
155    155    1516747988876050618    5.132472    5.088310    5.096417
156    156    1516747989071902856    5.132302    5.088535    5.105890
157    157    1516747989267454389    5.132184    5.088664    5.113742
158    158    1516747989463174063    5.132040    5.088624    5.109348
159    159    1516747989658582389    5.131949    5.089181    5.117489
160    160    1516747989854387504    5.131794    5.089935    5.107119
161    161    1516747990050394682    5.131608    5.090386    5.101854
162    162    1516747990245964322    5.131495    5.090771    5.113268
163    163    1516747990441429773    5.131400    5.091377    5.115994
164    164    1516747990637031662    5.131285    5.109347    5.112425
165    165    1516747990832834372    5.131139    5.110427    5.107182
166    166    1516747991028499241    5.131016    5.110916    5.110779
167    167    1516747991224062760    5.130911    5.110885    5.113428
168    168    1516747991419843979    5.130773    5.110724    5.107742
169    169    1516747991615497270    5.130657    5.110085    5.111082
170    170    1516747991811252717    5.130527    5.110214    5.108415
171    171    1516747992007328811    5.130348    5.110034    5.100061
172    172    1516747992203055751    5.130225    5.109623    5.109159
173    173    1516747992398580043    5.130134    5.109470    5.114454
174    174    1516747992594321609    5.130012    5.109105    5.108777
175    175    1516747992790354074    5.129847    5.108505    5.101196
176    176    1516747992986012250    5.129740    5.108523    5.110954
177    177    1516747993181576360    5.129648    5.108521    5.113413
178    178    1516747993377239927    5.129543    5.108828    5.110814
179    179    1516747993579950834    5.128408    5.090474    4.933134
180    180    1516747993775973033    5.128259    5.089783    5.101463
181    181    1516747993971935441    5.128119    5.090078    5.103020
182    182    1516747994167902600    5.127981    5.089455    5.102896
183    183    1516747994363643685    5.127876    5.088893    5.108790
184    184    1516747994559191439    5.127800    5.089396    5.113840
185    185    1516747994755486537    5.127619    5.088716    5.094371
186    186    1516747994951275899    5.127511    5.088376    5.107530
187    187    1516747995147446931    5.127351    5.086805    5.097593
188    188    1516747995343233524    5.127246    5.086486    5.107602
189    189    1516747995538952676    5.127152    5.104640    5.109362
190    190    1516747995734511390    5.127080    5.105848    5.113554
191    191    1516747995930394429    5.126965    5.106055    5.105087
192    192    1516747996126377553    5.126838    5.106014    5.102480
193    193    1516747996322069803    5.126751    5.106141    5.110064
194    194    1516747996517661491    5.126679    5.106027    5.112692
195    195    1516747996713234476    5.126610    5.107910    5.113181
196    196    1516747996909381109    5.126465    5.106977    5.098227
197    197    1516747997105412945    5.126337    5.107341    5.101212
198    198    1516747997301048932    5.126262    5.107734    5.111534
199    199    1516747997496912709    5.126158    5.107357    5.105589
200    200    1516747997692428561    5.126101    5.107469    5.114675
201    201    1516747997888237828    5.126006    5.107661    5.107011
202    202    1516747998083958205    5.125924    5.108346    5.109330
203    203    1516747998279465384    5.125870    5.108829    5.114902
204    204    1516747998475197601    5.125787    5.108462    5.109021
205    205    1516747998677482654    5.124870    5.091006    4.943519
206    206    1516747998873871796    5.124710    5.090378    5.091931
