Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516787412328624111    0.000000    0.000000    0.000000
1    1    1516787412492810018    12.181313    6.090657    6.090657
2    2    1516787412695462597    8.177986    5.451991    4.934554
3    3    1516787412915721122    6.813184    5.109888    4.540119
4    4    1516787413021666837    7.214562    5.771650    9.438796
5    5    1516787413164837220    7.175204    5.979337    6.984685
6    6    1516787413317204626    7.080860    6.069308    6.563083
7    7    1516787413470171447    7.008032    6.132028    6.537365
8    8    1516787413586651060    7.154060    6.359164    8.585193
9    9    1516787413695594612    7.315447    6.583902    9.179066
10    10    1516787413942391972    6.816346    6.196678    4.051907
11    11    1516787414100738619    6.771571    6.219182    6.315258
12    12    1516787414264254915    6.716157    6.374330    6.115598
13    13    1516787414516194286    6.399795    6.248152    3.969209
14    14    1516787414663547534    6.424194    6.090577    6.786413
15    15    1516787414818671719    6.425580    6.046554    6.446448
16    16    1516787414935170883    6.522039    6.180599    8.583753
17    17    1516787415085435372    6.529283    6.190938    6.654932
18    18    1516787415252654677    6.497880    6.002388    5.980171
19    19    1516787415412675854    6.484976    5.823836    6.249173
20    20    1516787415528630383    6.562487    6.304223    8.624070
21    21    1516787415641055972    6.641646    6.492169    8.894772
22    22    1516787415761703435    6.699525    6.678026    8.288612
23    23    1516787415877396189    6.762903    7.346448    8.643584
24    24    1516787415983681137    6.839839    7.574991    9.408670
25    25    1516787416266859736    6.601941    6.905181    3.531340
26    26    1516787416382507598    6.660280    6.909243    8.646939
27    27    1516787416500784137    6.711152    7.065396    8.454762
28    28    1516787416655828599    6.701786    7.126700    6.449763
29    29    1516787416814552718    6.687579    7.133295    6.300240
30    30    1516787416934198661    6.730973    7.114560    8.357993
31    31    1516787417049732043    6.778070    7.098865    8.655507
32    32    1516787417175053392    6.809137    7.075388    7.979486
33    33    1516787417361171644    6.756022    6.739564    5.372928
34    34    1516787417469312916    6.808426    6.731143    9.247163
35    35    1516787417589960462    6.842368    7.558003    8.288606
36    36    1516787417712520154    6.872347    7.518726    8.159289
37    37    1516787417853324730    6.878201    7.393493    7.102042
38    38    1516787418015428244    6.857982    7.355106    6.168898
39    39    1516787418185795005    6.829236    7.292657    5.869690
40    40    1516787418300167440    6.865897    7.320811    8.743365
41    41    1516787418583156720    6.715130    6.521351    3.533703
42    42    1516787418707227216    6.741288    6.526675    8.059934
43    43    1516787418827122316    6.770795    6.821512    8.340624
44    44    1516787418953592543    6.792485    6.737275    7.906999
45    45    1516787419111971493    6.781313    6.570255    6.313970
46    46    1516787419236057903    6.804264    6.563671    8.058900
47    47    1516787419403099325    6.784956    6.452551    5.986539
48    48    1516787419520141482    6.813583    6.645784    8.543930
49    49    1516787419664439401    6.815875    6.762952    6.930107
50    50    1516787419839223796    6.790403    6.497488    5.721335
51    51    1516787420018502187    6.762136    6.966964    5.577917
52    52    1516787420142185315    6.783079    6.968845    8.085177
53    53    1516787420269194464    6.800519    6.934466    7.873449
54    54    1516787420439028377    6.781413    6.732031    5.888106
55    55    1516787420566842060    6.797587    6.873464    7.823888
56    56    1516787420741593969    6.775253    6.642153    5.722398
57    57    1516787420917974080    6.752548    6.601206    5.669573
58    58    1516787421045429016    6.768535    6.556141    7.845910
59    59    1516787421166361387    6.789068    6.658136    8.269085
60    60    1516787421290428944    6.806665    6.890825    8.060125
