Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516786785485268309    0.000000    0.000000    0.000000
1    1    1516786785513658348    70.447244    35.223621    35.223622
2    2    1516786785548692339    47.300684    31.533789    28.543708
3    3    1516786785582789220    41.016844    30.762634    29.328196
4    4    1516786785624766750    35.842694    28.674154    23.822269
5    5    1516786785650708884    36.266799    30.222332    38.547330
6    6    1516786785682204490    35.544510    30.466722    31.750461
7    7    1516786785714107049    34.959116    30.589228    31.345448
8    8    1516786785740285764    35.291702    31.370401    38.198972
9    9    1516786785777417501    34.229087    30.806177    26.931140
10    10    1516786785808963850    33.982550    30.893229    31.699389
11    11    1516786785834975786    34.314394    31.121872    38.443890
12    12    1516786785871903173    33.623455    30.939556    27.080172
13    13    1516786785900450194    33.720161    31.480103    35.029925
14    14    1516786785934166439    33.415154    32.320656    29.659293
15    15    1516786785963553129    33.452870    31.964788    34.029011
16    16    1516786785988959126    33.750863    32.599342    39.360786
17    17    1516786786018454966    33.759284    32.857132    33.903086
18    18    1516786786042982903    34.067604    33.036320    40.769837
19    19    1516786786070304178    34.185938    34.142899    36.601513
20    20    1516786786096252706    34.370763    34.808170    38.537832
21    21    1516786786126102814    34.330236    34.349266    33.500716
22    22    1516786786162994836    33.936992    34.353439    27.106132
23    23    1516786786195012703    33.814991    33.948654    31.232561
24    24    1516786786222768192    33.898310    34.649822    36.028909
25    25    1516786786250680390    33.968630    34.827763    35.826630
26    26    1516786786276124376    34.140220    34.823154    39.302018
27    27    1516786786308013023    34.032428    34.535389    31.359123
28    28    1516786786340763075    33.898512    33.581818    30.534303
29    29    1516786786372340134    33.819133    33.108639    31.668560
30    30    1516786786398312682    33.952348    33.106007    38.502191
31    31    1516786786423737175    34.098094    33.598270    39.332151
32    32    1516786786450959587    34.172412    34.726471    36.734438
33    33    1516786786478944629    34.216373    35.219711    35.733375
34    34    1516786786515173585    33.983708    34.199097    27.602231
35    35    1516786786549824705    33.816903    33.428680    28.859096
36    36    1516786786583640521    33.686213    32.518620    29.571961
37    37    1516786786611421688    33.743183    32.958847    35.995608
38    38    1516786786639188889    33.797820    33.509167    36.013713
39    39    1516786786665519088    33.891102    34.108860    37.979204
40    40    1516786786691324322    33.995104    34.128338    38.751828
41    41    1516786786721242252    33.981299    33.612873    33.424772
42    42    1516786786745953427    34.108438    33.899014    40.467521
43    43    1516786786771828226    34.199729    34.143257    38.647643
44    44    1516786786798620406    34.263470    35.279987    37.324324
45    45    1516786786826712895    34.291390    36.115658    35.596703
46    46    1516786786852401797    34.378501    37.207741    38.927316
47    47    1516786786878178740    34.460220    37.487293    38.794360
48    48    1516786786912974445    34.320788    36.524937    28.739179
49    49    1516786786949497299    34.147664    35.213966    27.380117
50    50    1516786786977252462    34.182669    34.973824    36.029333
51    51    1516786787004485795    34.228147    35.305305    36.719707
52    52    1516786787030150911    34.306814    35.186802    38.963393
53    53    1516786787064905892    34.185056    34.120647    28.772854
54    54    1516786787097260150    34.119279    33.485161    30.907833
55    55    1516786787125371839    34.144186    33.483009    35.572391
56    56    1516786787151373203    34.211531    33.448017    38.459521
57    57    1516786787178691298    34.250155    33.276478    36.605774
58    58    1516786787203838213    34.330870    34.380356    39.766309
59    59    1516786787230174634    34.385800    35.628098    37.970231
60    60    1516786787257804875    34.413959    35.643963    36.192229
61    61    1516786787282484844    34.497791    35.971348    40.518689
62    62    1516786787309484027    34.535389    35.799549    37.038158
63    63    1516786787334846612    34.602482    37.045170    39.428158
64    64    1516786787364223004    34.593703    37.458393    34.040940
65    65    1516786787398365907    34.499024    36.630833    29.288664
66    66    1516786787427417125    34.497871    36.226120    34.421965
67    67    1516786787458842996    34.455245    35.694946    31.820916
68    68    1516786787483631623    34.528256    35.740654    40.341081
69    69    1516786787509962722    34.573119    35.741337    37.977906
70    70    1516786787542424340    34.513668    35.134632    30.805612
71    71    1516786787574025389    34.470260    34.300549    31.644519
72    72    1516786787598512149    34.544050    34.598709    40.838396
73    73    1516786787623106329    34.614409    34.690937    40.660026
74    74    1516786787650863911    34.632505    34.886856    36.026193
75    75    1516786787685526282    34.541404    34.823746    28.849729
76    76    1516786787712629859    34.570050    35.061546    36.895499
77    77    1516786787742172444    34.560617    35.294601    33.849441
78    78    1516786787778072517    34.455624    33.962673    27.855097
79    79    1516786787803079517    34.515322    34.116093    39.988803
80    80    1516786787838058107    34.427215    33.825638    28.588917
81    81    1516786787873083814    34.341012    33.438282    28.550459
82    82    1516786787900903746    34.359489    33.069702    35.945451
83    83    1516786787928279053    34.383803    32.768330    36.529271
84    84    1516786787961941232    34.320236    32.146347    29.706930
85    85    1516786787994012310    34.280102    32.416378    31.180742
86    86    1516786788022438129    34.290176    32.278027    35.179285
87    87    1516786788051668415    34.289275    32.310596    34.211092
88    88    1516786788085640092    34.225875    32.513180    29.436286
89    89    1516786788113641398    34.241714    32.199703    35.712620
90    90    1516786788145754587    34.204273    32.499557    31.139853
91    91    1516786788173516069    34.223036    33.285374    36.021132
92    92    1516786788201353961    34.240452    33.283382    35.922260
93    93    1516786788237430236    34.154967    32.346634    27.719048
94    94    1516786788262185712    34.210596    33.306190    40.395103
95    95    1516786788290713607    34.219167    33.703930    35.053410
96    96    1516786788326120899    34.144679    32.929096    28.242770
97    97    1516786788354350126    34.157269    33.038006    35.424279
98    98    1516786788379747918    34.203039    34.001137    39.373501
99    99    1516786788413737626    34.147532    33.322647    29.420671
100    100    1516786788441447119    34.165728    33.818913    36.088715
101    101    1516786788477845141    34.084338    32.859165    27.474020
102    102    1516786788509100090    34.062741    32.494316    31.994933
103    103    1516786788545845637    33.980517    32.423801    27.214182
104    104    1516786788570554611    34.032498    32.428692    40.471126
105    105    1516786788597459123    34.059608    32.600311    37.168487
106    106    1516786788623088328    34.100108    33.673729    39.017987
107    107    1516786788656012309    34.061406    33.149666    30.372998
108    108    1516786788681492125    34.102743    33.140652    39.246751
109    109    1516786788707223900    34.140756    34.073143    38.862457
110    110    1516786788731714669    34.191232    34.450974    40.831711
111    111    1516786788758146247    34.220647    35.675922    37.833534
112    112    1516786788786369436    34.231002    36.066013    35.431857
113    113    1516786788813008654    34.257481    37.430328    37.538639
114    114    1516786788849151675    34.186679    35.894135    27.667859
115    115    1516786788881425383    34.156253    35.215450    30.984974
116    116    1516786788908534573    34.177885    35.032867    36.887860
117    117    1516786788938687103    34.169039    35.376339    33.164713
118    118    1516786788967124990    34.177168    35.009979    35.164357
119    119    1516786788995072122    34.189945    34.740532    35.781847
120    120    1516786789020685567    34.225097    34.605560    39.041995
121    121    1516786789055591670    34.170574    33.619614    28.648285
122    122    1516786789082392697    34.193980    33.781128    37.312003
123    123    1516786789112227782    34.188416    33.420322    33.517585
124    124    1516786789139389362    34.207953    34.454521    36.816709
125    125    1516786789163959125    34.251316    35.394001    40.700433
126    126    1516786789191209168    34.269300    35.376366    36.697190
127    127    1516786789221601001    34.258191    35.346443    32.903576
128    128    1516786789247428417    34.288812    35.675625    38.718546
129    129    1516786789272528943    34.325602    36.041645    39.839803
130    130    1516786789298214561    34.356634    36.032272    38.932293
131    131    1516786789323047639    34.394891    37.389332    40.268870
132    132    1516786789350401049    34.410202    37.312267    36.558513
133    133    1516786789375129160    34.448533    38.037075    40.439806
134    134    1516786789402394301    34.464043    38.022099    36.676869
135    135    1516786789430549740    34.471559    37.510696    35.517116
136    136    1516786789458728583    34.478764    37.380463    35.487617
137    137    1516786789484234920    34.508915    38.075813    39.205943
138    138    1516786789509368388    34.541884    38.176685    39.787585
139    139    1516786789542094521    34.509736    37.096725    30.556620
140    140    1516786789570685506    34.512999    36.701160    34.976060
141    141    1516786789596520913    34.539352    36.566643    38.706570
142    142    1516786789627414041    34.523170    36.099388    32.369658
143    143    1516786789661262247    34.482809    34.948772    29.543663
144    144    1516786789686865811    34.510683    35.152905    39.057063
145    145    1516786789713906801    34.526479    35.291161    36.980895
146    146    1516786789740177417    34.548329    35.530437    38.065343
147    147    1516786789770127036    34.540229    34.978230    33.389406
148    148    1516786789798693787    34.543312    34.563160    35.005731
149    149    1516786789827319855    34.545882    35.059998    34.933194
150    150    1516786789855090191    34.555184    35.161167    36.009647
151    151    1516786789883043015    34.562935    34.901321    35.774561
152    152    1516786789911019045    34.570406    35.260311    35.744886
153    153    1516786789936488420    34.597256    36.333752    39.262840
154    154    1516786789962864986    34.616785    36.231991    37.912441
155    155    1516786789990914595    34.623224    36.100067    35.651121
156    156    1516786790015888080    34.653096    36.269909    40.042469
157    157    1516786790042679344    34.668806    36.690205    37.325600
158    158    1516786790068119656    34.694558    37.115963    39.307694
159    159    1516786790101560566    34.659851    36.464314    29.903492
160    160    1516786790133365291    34.637831    35.935661    31.441869
161    161    1516786790166174360    34.608684    35.319298    30.479378
162    162    1516786790193888623    34.617359    35.351982    36.082504
163    163    1516786790221907634    34.623704    35.036182    35.690053
164    164    1516786790247719254    34.646026    35.105671    38.742241
165    165    1516786790282231059    34.605230    34.326931    28.975593
166    166    1516786790310787692    34.607674    33.909843    35.018134
167    167    1516786790340742891    34.600119    33.549892    33.383187
168    168    1516786790373505994    34.572787    32.745407    30.522139
169    169    1516786790405511616    34.551137    32.900032    31.244511
170    170    1516786790433537062    34.557541    33.314259    35.681859
171    171    1516786790460777603    34.569325    33.943958    36.709990
172    172    1516786790487228303    34.586442    34.090172    37.806183
173    173    1516786790513696422    34.603259    34.271366    37.781302
174    174    1516786790550615288    34.548472    33.014629    27.086422
175    175    1516786790578766797    34.553853    33.722748    35.522075
