Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516786125494747415    0.000000    0.000000    0.000000
1    1    1516786125689943552    10.246104    5.123052    5.123052
2    2    1516786125884715850    7.692930    5.128620    5.134200
3    3    1516786126079614924    6.839156    5.129367    5.130861
4    4    1516786126274214077    6.414643    5.131714    5.138769
5    5    1516786126468963435    6.158798    5.132332    5.134805
6    6    1516786126663697692    5.988279    5.132811    5.135203
7    7    1516786126858396626    5.866611    5.133285    5.136135
8    8    1516786127053333002    5.774466    5.132859    5.129879
9    9    1516786127248072865    5.703448    5.133103    5.135055
10    10    1516786127442338995    5.648001    5.134547    5.147578
11    11    1516786127637963777    5.599061    5.133417    5.111827
12    12    1516786127832301017    5.561370    5.134564    5.145694
13    13    1516786128026605878    5.529535    5.136131    5.146552
14    14    1516786128221163149    5.501729    5.136241    5.139875
15    15    1516786128415703694    5.477658    5.136792    5.140317
16    16    1516786128620332358    5.438982    5.110816    4.886901
17    17    1516786128814913513    5.421416    5.111124    5.139244
18    18    1516786129009381057    5.405969    5.112349    5.142246
19    19    1516786129204158879    5.391691    5.112249    5.134055
20    20    1516786129398514739    5.379419    5.112015    5.145201
21    21    1516786129592807363    5.368394    5.115499    5.146876
22    22    1516786129787096545    5.358371    5.115624    5.146967
23    23    1516786129981414438    5.349182    5.115591    5.146206
24    24    1516786130175555825    5.340958    5.116679    5.150885
25    25    1516786130370003038    5.333054    5.116923    5.142784
26    26    1516786130564379667    5.325830    5.143908    5.144651
27    27    1516786130758579718    5.319318    5.144916    5.149329
28    28    1516786130952957021    5.313098    5.145155    5.144634
29    29    1516786131147186271    5.307444    5.146608    5.148555
30    30    1516786131341521707    5.302069    5.146662    5.145742
31    31    1516786131535493927    5.297359    5.147511    5.155377
32    32    1516786131729674162    5.292765    5.147799    5.149855
33    33    1516786131923965072    5.288357    5.147871    5.146921
34    34    1516786132117969469    5.284437    5.148234    5.154522
35    35    1516786132312133619    5.280616    5.148984    5.150281
36    36    1516786132506299022    5.277006    5.149544    5.150248
37    37    1516786132700312059    5.273702    5.150041    5.154293
38    38    1516786132894616398    5.270364    5.150234    5.146565
39    39    1516786133088980778    5.267154    5.149875    5.144976
40    40    1516786133283480544    5.264014    5.149440    5.141394
41    41    1516786133477891471    5.261085    5.148276    5.143744
42    42    1516786133682955910    5.251454    5.119589    4.876516
43    43    1516786133877469577    5.248892    5.119005    5.141027
44    44    1516786134072135025    5.246353    5.117274    5.137018
45    45    1516786134267047330    5.243779    5.115315    5.130512
46    46    1516786134461474218    5.241601    5.114631    5.143322
47    47    1516786134655894029    5.239519    5.113567    5.143509
48    48    1516786134850379304    5.237487    5.113094    5.141777
49    49    1516786135044982529    5.235473    5.112470    5.138661
50    50    1516786135239563704    5.233552    5.112257    5.139243
51    51    1516786135433886970    5.231841    5.112486    5.146064
52    52    1516786135628168749    5.230218    5.140826    5.147163
53    53    1516786135822470576    5.228645    5.141386    5.146632
54    54    1516786136017145115    5.226946    5.141362    5.136779
55    55    1516786136211476009    5.225475    5.142899    5.145862
56    56    1516786136405942878    5.223992    5.142793    5.142264
57    57    1516786136600634330    5.222455    5.142075    5.136332
58    58    1516786136795462004    5.220909    5.141170    5.132741
59    59    1516786136990196737    5.219457    5.140822    5.135191
60    60    1516786137184728690    5.218144    5.140952    5.140544
61    61    1516786137379335185    5.216841    5.140204    5.138575
62    62    1516786137573951417    5.215575    5.139320    5.138318
