Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516800451158863797    0.000000    0.000000    0.000000
1    1    1516800452407879852    1.601260    0.800630    0.800630
2    2    1516800453699563167    1.180777    0.787185    0.774184
3    3    1516800454953437386    1.054137    0.790603    0.797528
4    4    1516800456218993361    0.988117    0.790494    0.790167
5    5    1516800457463504767    0.951680    0.793067    0.803528
6    6    1516800458710664160    0.926931    0.794513    0.801822
7    7    1516800459959698213    0.909005    0.795379    0.800619
8    8    1516800461224727499    0.894111    0.794765    0.790496
9    9    1516800462472072684    0.883923    0.795530    0.801703
10    10    1516800463727448198    0.875198    0.795635    0.796574
11    11    1516800464983817084    0.867996    0.795169    0.795945
12    12    1516800466243070968    0.861829    0.797225    0.794121
13    13    1516800467507058135    0.856364    0.796583    0.791147
14    14    1516800468852689750    0.847753    0.791534    0.743145
15    15    1516800470119512117    0.843853    0.790139    0.789377
16    16    1516800471391359544    0.840232    0.788600    0.786258
17    17    1516800472644869118    0.837755    0.788322    0.797760
18    18    1516800473880856265    0.836194    0.790131    0.809070
19    19    1516800475122975593    0.834581    0.790457    0.805076
20    20    1516800476355034692    0.833460    0.791917    0.811649
21    21    1516800477585382049    0.832497    0.793552    0.812779
22    22    1516800478834667488    0.831051    0.794180    0.800458
23    23    1516800480065380414    0.830263    0.796285    0.812537
24    24    1516800481314215128    0.829040    0.802470    0.800746
25    25    1516800482561340703    0.827960    0.803740    0.801844
26    26    1516800483805591727    0.827035    0.805527    0.803696
27    27    1516800485042268301    0.826363    0.806621    0.808619
28    28    1516800486295708312    0.825344    0.805487    0.797804
29    29    1516800487542847487    0.824539    0.805161    0.801835
30    30    1516800488798582399    0.823598    0.803629    0.796346
31    31    1516800490043306017    0.822951    0.802702    0.803391
32    32    1516800491307650285    0.821943    0.801733    0.790924
33    33    1516800492558377889    0.821266    0.800448    0.799535
34    34    1516800493826422754    0.820295    0.799219    0.788616
35    35    1516800495122520365    0.818858    0.796104    0.771547
36    36    1516800496385916545    0.818094    0.794892    0.791517
37    37    1516800497621777418    0.817857    0.794944    0.809153
38    38    1516800498859631913    0.817597    0.795930    0.807849
39    39    1516800500112140596    0.817106    0.795590    0.798398
40    40    1516800501357884019    0.816749    0.796223    0.802734
41    41    1516800502601452971    0.816444    0.796296    0.804137
42    42    1516800503840685168    0.816221    0.797891    0.806951
43    43    1516800505080826474    0.815994    0.798566    0.806360
44    44    1516800506307397868    0.815978    0.801219    0.815281
45    45    1516800507510354086    0.816305    0.807244    0.831285
46    46    1516800508739785497    0.816243    0.809463    0.813384
47    47    1516800509968182599    0.816197    0.809952    0.814069
48    48    1516800511210761462    0.815961    0.809643    0.804778
49    49    1516800512465349476    0.815574    0.809506    0.797074
50    50    1516800513727153906    0.815109    0.808455    0.792516
51    51    1516800514975737274    0.814832    0.808128    0.800908
52    52    1516800516236680326    0.814410    0.806712    0.793057
53    53    1516800517479600420    0.814225    0.806531    0.804557
54    54    1516800518718655821    0.814094    0.805720    0.807066
55    55    1516800519935570247    0.814229    0.804815    0.821750
56    56    1516800521125488519    0.814674    0.807383    0.840394
57    57    1516800522317117891    0.815085    0.809786    0.839187
58    58    1516800523515487132    0.815406    0.812696    0.834467
59    59    1516800524725899606    0.815583    0.815624    0.826165
60    60    1516800525936979168    0.815747    0.819013    0.825710
61    61    1516800527125460213    0.816148    0.823064    0.841410
62    62    1516800528278273847    0.816915    0.830455    0.867443
63    63    1516800529430039696    0.817670    0.836789    0.868232
64    64    1516800530576142170    0.818462    0.843349    0.872522
65    65    1516800531719239002    0.819261    0.848632    0.874817
66    66    1516800532899846734    0.819662    0.849303    0.847021
67    67    1516800534115243614    0.819708    0.847592    0.822777
68    68    1516800535359917921    0.819467    0.844279    0.803423
69    69    1516800536605431888    0.819225    0.841784    0.802881
70    70    1516800537845723969    0.819040    0.839719    0.806262
71    71    1516800539123148828    0.818514    0.833494    0.782825
72    72    1516800540382010404    0.818173    0.826191    0.794369
73    73    1516800541617610957    0.818052    0.820508    0.809323
74    74    1516800542850058833    0.817963    0.814736    0.811393
75    75    1516800544125699054    0.817496    0.806032    0.783920
76    76    1516800545369145275    0.817321    0.801970    0.804217
77    77    1516800546604120707    0.817222    0.800713    0.809733
78    78    1516800547841521528    0.817106    0.801179    0.808146
79    79    1516800549075895544    0.817018    0.801895    0.810127
80    80    1516800550324773270    0.816813    0.801343    0.800719
81    81    1516800551560299544    0.816721    0.804043    0.809372
82    82    1516800552791594037    0.816666    0.805829    0.812153
83    83    1516800554015249730    0.816673    0.806605    0.817223
84    84    1516800555244760883    0.816633    0.806796    0.813331
85    85    1516800556479309256    0.816556    0.809480    0.810013
86    86    1516800557711935952    0.816495    0.810190    0.811276
87    87    1516800558942794433    0.816448    0.810460    0.812441
88    88    1516800560165495445    0.816464    0.811427    0.817861
89    89    1516800561355306632    0.816723    0.814371    0.840469
90    90    1516800562547882874    0.816957    0.818122    0.838521
91    91    1516800563727256204    0.817281    0.821898    0.847908
92    92    1516800564918471470    0.817513    0.824615    0.839479
93    93    1516800566078614248    0.817962    0.828956    0.861963
94    94    1516800567224616608    0.818502    0.834735    0.872599
95    95    1516800568352388726    0.819158    0.842242    0.886704
96    96    1516800569442235437    0.820065    0.852493    0.917560
97    97    1516800570527119427    0.820989    0.863235    0.921758
98    98    1516800571588361747    0.822058    0.875437    0.942292
99    99    1516800572689249484    0.822839    0.882306    0.908358
100    100    1516800573838866289    0.823280    0.885662    0.869855
101    101    1516800575020193350    0.823502    0.885509    0.846506
102    102    1516800576237502446    0.823482    0.883468    0.821484
103    103    1516800577468257640    0.823375    0.877991    0.812509
104    104    1516800578711013659    0.823193    0.870595    0.804663
105    105    1516800579954263728    0.823011    0.861930    0.804343
106    106    1516800581180168251    0.822942    0.851939    0.815724
107    107    1516800582418217798    0.822799    0.840965    0.807722
108    108    1516800583666262699    0.822596    0.827958    0.801253
109    109    1516800584920884862    0.822356    0.817552    0.797053
110    110    1516800586202736938    0.821955    0.808808    0.780121
111    111    1516800587463232133    0.821690    0.803662    0.793339
112    112    1516800588739224334    0.821338    0.799890    0.783704
113    113    1516800589987251962    0.821158    0.798786    0.801264
114    114    1516800591232494907    0.820997    0.798628    0.803056
115    115    1516800592476878816    0.820844    0.798555    0.803611
116    116    1516800593751848914    0.820517    0.795439    0.784332
117    117    1516800595007534242    0.820307    0.794324    0.796378
118    118    1516800596256201376    0.820139    0.794285    0.800854
119    119    1516800597525082001    0.819861    0.793387    0.788096
120    120    1516800598786208510    0.819631    0.794693    0.792942
121    121    1516800600036737412    0.819464    0.795323    0.799662
122    122    1516800601305934004    0.819197    0.795753    0.787900
123    123    1516800602557866942    0.819028    0.795506    0.798765
124    124    1516800603806989334    0.818877    0.795261    0.800562
125    125    1516800605076043928    0.818622    0.793703    0.787988
126    126    1516800606316226547    0.818524    0.795901    0.806333
127    127    1516800607526998731    0.818581    0.798756    0.825919
128    128    1516800608714726425    0.818757    0.802663    0.841944
129    129    1516800609858783493    0.819156    0.810787    0.874082
130    130    1516800611011581602    0.819504    0.817971    0.867455
131    131    1516800612151804985    0.819912    0.825418    0.877021
132    132    1516800613307588634    0.820235    0.833218    0.865214
133    133    1516800614483977046    0.820449    0.838496    0.850059
134    134    1516800615646012759    0.820733    0.844664    0.860559
135    135    1516800616848941353    0.820810    0.849409    0.831305
136    136    1516800618070947523    0.820791    0.850722    0.818326
137    137    1516800619327404467    0.820605    0.847429    0.795889
138    138    1516800620593186961    0.820377    0.841860    0.790025
139    139    1516800621849685913    0.820196    0.833966    0.795862
140    140    1516800623111206193    0.819995    0.826472    0.792694
141    141    1516800624370231189    0.819808    0.818436    0.794265
142    142    1516800625640868618    0.819569    0.810814    0.787007
143    143    1516800626907266301    0.819353    0.804940    0.789641
144    144    1516800628172490937    0.819146    0.798309    0.790373
145    145    1516800629415706867    0.819043    0.795750    0.804365
146    146    1516800630656799946    0.818951    0.794543    0.805741
147    147    1516800631896639443    0.818866    0.795593    0.806556
148    148    1516800633138805291    0.818772    0.797091    0.805045
149    149    1516800634416425572    0.818520    0.795751    0.782705
150    150    1516800635669238465    0.818382    0.796303    0.798204
151    151    1516800636914853853    0.818278    0.797154    0.802816
152    152    1516800638178796178    0.818095    0.797580    0.791175
153    153    1516800639448260359    0.817890    0.797385    0.787734
154    154    1516800640724040696    0.817661    0.796714    0.783834
155    155    1516800642000368750    0.817432    0.794618    0.783498
156    156    1516800643262409058    0.817268    0.793298    0.792368
157    157    1516800644520387218    0.817122    0.792158    0.794926
158    158    1516800645776790515    0.816985    0.791265    0.795923
159    159    1516800647002497327    0.816978    0.794529    0.815856
160    160    1516800648213758309    0.817031    0.797161    0.825586
161    161    1516800649414836537    0.817125    0.800001    0.832585
162    162    1516800650598093381    0.817292    0.805199    0.845125
163    163    1516800651806349863    0.817354    0.809187    0.827639
164    164    1516800653017020118    0.817406    0.813472    0.825989
165    165    1516800654190066701    0.817608    0.820365    0.852481
166    166    1516800655334964888    0.817921    0.828325    0.873440
167    167    1516800656464759320    0.818291    0.837214    0.885117
168    168    1516800657577602626    0.818724    0.847399    0.898599
169    169    1516800658720101550    0.819035    0.853417    0.875274
170    170    1516800659890100796    0.819235    0.856433    0.854701
171    171    1516800661082459366    0.819346    0.857073    0.838674
172    172    1516800662298953063    0.819361    0.854638    0.822035
173    173    1516800663556394632    0.819219    0.851061    0.795266
174    174    1516800664832619281    0.819006    0.846339    0.783561
175    175    1516800666126410105    0.818728    0.837778    0.772922
176    176    1516800667400599005    0.818528    0.828800    0.784813
177    177    1516800668672045420    0.818341    0.819183    0.786506
178    178    1516800669923055630    0.818233    0.810015    0.799354
179    179    1516800671191278358    0.818061    0.801849    0.788505
180    180    1516800672453355162    0.817915    0.795972    0.792345
181    181    1516800673704773493    0.817809    0.792248    0.799093
182    182    1516800674962743846    0.817680    0.789653    0.794931
183    183    1516800676243362151    0.817471    0.788210    0.780873
184    184    1516800677509077053    0.817318    0.788864    0.790067
185    185    1516800678771784332    0.817177    0.790803    0.791949
186    186    1516800680034935257    0.817036    0.791494    0.791671
187    187    1516800681283208977    0.816950    0.792948    0.801106
188    188    1516800682549947616    0.816799    0.791961    0.789429
189    189    1516800683812354195    0.816665    0.792325    0.792138
190    190    1516800685068953845    0.816553    0.792670    0.795798
191    191    1516800686313367136    0.816484    0.793110    0.803592
192    192    1516800687565683501    0.816389    0.793466    0.798520
193    193    1516800688809941196    0.816323    0.795762    0.803692
194    194    1516800690038073964    0.816312    0.798148    0.814244
195    195    1516800691272350471    0.816281    0.799964    0.810191
196    196    1516800692473753876    0.816361    0.803935    0.832360
197    197    1516800693667246243    0.816467    0.807491    0.837877
198    198    1516800694833678022    0.816662    0.814085    0.857315
199    199    1516800695992609615    0.816881    0.821001    0.862864
200    200    1516800697135673472    0.817150    0.828726    0.874842
201    201    1516800698287222346    0.817389    0.835153    0.868396
202    202    1516800699422227189    0.817680    0.843416    0.881054
203    203    1516800700529129014    0.818061    0.853302    0.903422
204    204    1516800701644458313    0.818410    0.861595    0.896596
205    205    1516800702758400258    0.818761    0.870621    0.897713
206    206    1516800703874764974    0.819102    0.877115    0.895765
207    207    1516800705004377369    0.819396    0.882057    0.885259
208    208    1516800706139057475    0.819672    0.884535    0.881306
209    209    1516800707310832803    0.819826    0.883531    0.853406
210    210    1516800708490754294    0.819953    0.880663    0.847514
211    211    1516800709697612676    0.819993    0.876394    0.828598
212    212    1516800710914048587    0.820003    0.870184    0.822074
213    213    1516800712127945251    0.820021    0.862157    0.823793
214    214    1516800713334566461    0.820061    0.855424    0.828761
215    215    1516800714564806676    0.820027    0.846998    0.812849
216    216    1516800715799980009    0.819978    0.838559    0.809603
217    217    1516800717037859990    0.819922    0.831015    0.807833
218    218    1516800718276919461    0.819862    0.823868    0.807064
219    219    1516800719519253852    0.819793    0.819107    0.804936
220    220    1516800720765210893    0.819714    0.814700    0.802596
221    221    1516800722010892859    0.819636    0.812131    0.802773
