Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516799399270753314    0.000000    0.000000    0.000000
1    1    1516799399421595176    13.258919    6.629460    6.629459
2    2    1516799399535858905    11.316246    7.544164    8.751684
3    3    1516799399657904372    10.331884    7.748913    8.193668
4    4    1516799399803904045    9.378211    7.502569    6.849330
5    5    1516799400041621190    7.783435    6.486196    4.206680
6    6    1516799400187322680    7.637174    6.546149    6.863348
7    7    1516799400292927002    7.826459    6.848151    9.469309
8    8    1516799400402425937    7.952830    7.069182    9.132509
9    9    1516799400512485513    8.053266    7.247940    9.085988
10    10    1516799400662631134    7.902993    7.184539    6.660201
11    11    1516799400786324361    7.917808    7.327461    8.084517
12    12    1516799401046107940    7.322481    6.621425    3.849358
13    13    1516799401175322015    7.350746    6.590144    7.739095
14    14    1516799401427201237    6.955883    6.160302    3.970157
15    15    1516799401567874157    6.965241    6.551994    7.108689
16    16    1516799401711934514    6.963842    6.559047    6.941535
17    17    1516799401838843608    7.009099    6.468654    7.879656
18    18    1516799402082616607    6.757085    5.951705    4.102177
19    19    1516799402198220278    6.831845    5.932131    8.650244
20    20    1516799402317998974    6.891469    6.040954    8.348730
21    21    1516799402435841829    6.950832    6.062379    8.485877
22    22    1516799402607120729    6.893725    6.406097    5.838431
23    23    1516799402876330483    6.656355    5.878865    3.714576
24    24    1516799402985098135    6.730662    6.418910    9.193910
25    25    1516799403132866590    6.732066    6.389807    6.767344
26    26    1516799403244993038    6.793752    6.522908    8.918502
27    27    1516799403362139464    6.843646    6.564713    8.536325
28    28    1516799403480635541    6.888554    7.152979    8.439098
29    29    1516799403641035590    6.864545    6.930894    6.234412
30    30    1516799403770622406    6.889089    6.884097    7.716834
31    31    1516799403905796885    6.903926    6.802929    7.397846
32    32    1516799404027515789    6.937492    7.040295    8.215651
33    33    1516799404193689864    6.906447    7.590943    6.017786
34    34    1516799404312528482    6.941999    7.533352    8.414773
35    35    1516799404428960660    6.979169    7.715489    8.588691
36    36    1516799404546486216    7.013244    7.683482    8.508788
37    37    1516799404678467897    7.026998    7.596889    7.576809
38    38    1516799404798754375    7.054991    7.586570    8.313486
39    39    1516799404922783542    7.077103    7.801846    8.062620
40    40    1516799405037875255    7.109265    7.891085    8.688723
41    41    1516799405165236179    7.125307    7.940042    7.851702
42    42    1516799405466563380    6.940174    6.949041    3.318652
43    43    1516799405653445608    6.893643    6.850461    5.350964
44    44    1516799405781875055    6.911252    6.805747    7.786376
45    45    1516799405901737970    6.937130    6.789893    8.342864
46    46    1516799406194297379    6.788431    6.068656    3.418109
47    47    1516799406386952499    6.745174    5.853140    5.190622
48    48    1516799406528616637    6.751298    5.780807    7.058950
49    49    1516799406646007796    6.779427    5.803075    8.518529
50    50    1516799406754638358    6.814642    5.824916    9.205513
51    51    1516799406884924304    6.829371    5.815008    7.675425
52    52    1516799407005619159    6.852090    6.497490    8.285357
53    53    1516799407129867741    6.871003    6.773131    8.048382
54    54    1516799407307657966    6.843431    6.554012    5.624606
55    55    1516799407611623946    6.713927    5.848343    3.289842
56    56    1516799407808644448    6.676122    6.194455    5.075614
57    57    1516799407982277659    6.657847    6.268315    5.759267
58    58    1516799408120243322    6.667051    6.282880    7.248180
59    59    1516799408244149575    6.686432    6.257267    8.070618
60    60    1516799408375334231    6.699924    6.170189    7.622843
61    61    1516799408673369507    6.593909    5.591449    3.355308
62    62    1516799408799752327    6.611397    5.573722    7.912468
63    63    1516799408932905896    6.623783    5.546195    7.510125
64    64    1516799409051554663    6.645672    5.734285    8.428238
65    65    1516799409179089050    6.661058    6.379727    7.841023
66    66    1516799409470772168    6.568615    6.016385    3.428378
67    67    1516799409659324889    6.545654    5.962862    5.303556
68    68    1516799409958230835    6.456154    5.440733    3.345534
69    69    1516799410146373936    6.436414    5.257004    5.315103
70    70    1516799410434508975    6.359867    4.856315    3.470595
71    71    1516799410633593632    6.336444    5.101458    5.022989
72    72    1516799410761580223    6.352894    5.097287    7.813319
73    73    1516799410894364927    6.366352    5.098246    7.530988
74    74    1516799411020661588    6.383029    5.078444    7.917866
75    75    1516799411152086145    6.396589    5.068431    7.608928
76    76    1516799411328359039    6.386011    5.383328    5.673022
