Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516799637372662925    0.000000    0.000000    0.000000
1    1    1516799637410246194    53.215169    26.607586    26.607584
2    2    1516799637445350981    41.272255    27.514837    28.486143
3    3    1516799637473679183    39.597586    29.698189    35.300511
4    4    1516799637509938184    36.423169    29.138535    27.579359
5    5    1516799637549658622    33.899129    28.249273    25.175956
6    6    1516799637580266043    33.718183    28.901300    32.671815
7    7    1516799637617464621    32.679512    28.594572    26.882748
8    8    1516799637653496764    32.047420    28.486597    27.752998
9    9    1516799637678709175    32.674800    29.407318    39.663006
10    10    1516799637710208572    32.588185    29.625624    31.746639
11    11    1516799637744627507    32.261136    29.905977    29.053775
12    12    1516799637774055255    32.387266    30.422482    33.981533
13    13    1516799637802626606    32.560890    30.399996    35.000095
14    14    1516799637841897318    31.966966    30.124189    25.464270
15    15    1516799637877376956    31.701120    30.514008    28.185180
16    16    1516799637906005166    31.874468    30.699413    34.930581
17    17    1516799637941500678    31.643469    30.860764    28.172576
18    18    1516799637982199984    31.171197    30.422581    24.570444
19    19    1516799638007454265    31.506416    30.418705    39.597247
20    20    1516799638045049900    31.232015    29.864893    26.598833
21    21    1516799638080842835    31.065552    29.742844    27.938474
22    22    1516799638108635891    31.251148    29.888161    35.980210
23    23    1516799638141487677    31.216477    29.510618    30.439745
24    24    1516799638177909827    31.046378    29.760796    27.455820
25    25    1516799638207402269    31.147448    30.300705    33.906992
26    26    1516799638246600443    30.894657    29.360359    25.511392
27    27    1516799638286129180    30.652473    29.016750    25.298051
28    28    1516799638311253065    30.897405    30.390234    39.802761
29    29    1516799638347547488    30.772874    29.403702    27.552442
30    30    1516799638382791324    30.689168    29.608448    28.373756
31    31    1516799638408640975    30.888685    30.506580    38.685242
32    32    1516799638446591707    30.728295    29.589668    26.349953
33    33    1516799638481926732    30.650959    29.373835    28.300532
34    34    1516799638506960928    30.856089    30.390417    39.945361
35    35    1516799638542413601    30.775789    29.849735    28.206618
36    36    1516799638577891112    30.699581    30.184975    28.186870
37    37    1516799638607066307    30.784102    31.158752    34.275692
38    38    1516799638643751980    30.682351    30.075285    27.258598
39    39    1516799638680063516    30.595060    30.073738    27.539457
40    40    1516799638708688350    30.688039    30.684540    34.934700
41    41    1516799638744010954    30.626799    29.817816    28.310484
42    42    1516799638779651670    30.561723    30.024624    28.057798
43    43    1516799638808475799    30.644662    30.623270    34.693156
44    44    1516799638848111149    30.499206    29.312599    25.230003
45    45    1516799638883554046    30.445609    29.313440    28.214398
46    46    1516799638911416712    30.544198    29.982706    35.890320
47    47    1516799638949366987    30.443253    29.214081    26.350270
48    48    1516799638990244649    30.292133    28.860638    24.463239
49    49    1516799639016090407    30.424220    29.759523    38.691069
50    50    1516799639056141010    30.294425    28.780901    24.968413
51    51    1516799639083969032    30.386148    29.415392    35.935001
52    52    1516799639120112692    30.329913    29.371937    27.667370
53    53    1516799639159602664    30.219262    28.479734    25.322885
54    54    1516799639187868980    30.299590    29.432728    35.377797
55    55    1516799639225325311    30.226770    29.259335    26.697756
56    56    1516799639265475305    30.113920    28.243912    24.906604
57    57    1516799639290649787    30.240040    29.301212    39.722764
58    58    1516799639328647365    30.163839    29.550591    26.317467
59    59    1516799639364051203    30.129734    28.738869    28.245525
60    60    1516799639392129319    30.205999    29.762939    35.614925
61    61    1516799639430203460    30.133064    28.882164    26.264545
62    62    1516799639467628246    30.072097    28.775690    26.720260
63    63    1516799639496181526    30.138658    29.710718    35.022246
64    64    1516799639529601830    30.135300    29.262625    29.921930
65    65    1516799639565759820    30.094430    29.374224    27.656405
66    66    1516799639601458971    30.061073    29.763350    28.011871
67    67    1516799639629651007    30.128648    29.498421    35.471010
68    68    1516799639664934572    30.101144    29.736486    28.341807
69    69    1516799639700220595    30.074443    29.746908    28.339833
70    70    1516799639736318639    30.038216    29.053778    27.702332
71    71    1516799639765066083    30.095262    29.862993    34.785701
72    72    1516799639801326009    30.057689    29.967237    27.578655
73    73    1516799639838651621    30.008248    29.199631    26.791255
74    74    1516799639867336203    30.064057    29.609070    34.861934
75    75    1516799639904500840    30.017719    29.521076    26.907299
76    76    1516799639940567156    29.985542    29.489113    27.726702
77    77    1516799639966451429    30.071843    29.691174    38.633498
78    78    1516799640004449731    30.017629    29.453766    26.316965
79    79    1516799640030721209    30.097158    30.257130    38.064094
80    80    1516799640059208588    30.150241    30.970304    35.103265
81    81    1516799640096238553    30.107480    30.195745    27.005156
82    82    1516799640131549583    30.084599    30.282513    28.319763
83    83    1516799640159993802    30.136358    31.119474    35.156529
84    84    1516799640196634295    30.099455    30.367620    27.292209
85    85    1516799640232069256    30.076173    30.527973    28.220717
86    86    1516799640261638597    30.114480    31.145716    33.818813
87    87    1516799640297466251    30.087493    30.210127    27.911401
88    88    1516799640332603794    30.068168    30.473492    28.459588
89    89    1516799640360519872    30.121924    30.321529    35.821651
90    90    1516799640396559214    30.093625    29.642748    27.747454
91    91    1516799640434233444    30.049937    29.586246    26.543343
92    92    1516799640460283430    30.120282    30.419746    38.387737
93    93    1516799640496588739    30.090343    29.709301    27.544181
94    94    1516799640527218090    30.115181    30.249516    32.648423
95    95    1516799640563739036    30.083895    30.150471    27.381547
96    96    1516799640592155050    30.128976    30.255680    35.191424
97    97    1516799640629457273    30.090939    30.121296    26.808054
98    98    1516799640666017015    30.060539    29.992811    27.352491
99    99    1516799640691637662    30.129786    30.200731    39.031021
100    100    1516799640728612013    30.095808    30.115692    27.045776
101    101    1516799640769007022    30.032293    29.870935    24.755534
102    102    1516799640796946024    30.079289    29.703329    35.792259
103    103    1516799640833036578    30.054558    29.722290    27.708081
104    104    1516799640861497542    30.096010    29.915091    35.135844
105    105    1516799640887172791    30.160678    30.918232    38.948016
106    106    1516799640926487952    30.108404    29.910309    25.435480
107    107    1516799640951758077    30.175225    31.026917    39.572420
108    108    1516799640990030102    30.132413    30.862951    26.128745
109    109    1516799641024615029    30.120877    30.032072    28.914330
110    110    1516799641056362679    30.132749    30.511000    31.498394
111    111    1516799641092300031    30.110464    30.931694    27.826202
112    112    1516799641120409710    30.151450    30.915373    35.574935
113    113    1516799641145631146    30.214938    31.990320    39.648813
114    114    1516799641181885533    30.189887    31.212154    27.582869
115    115    1516799641207109792    30.252082    31.256153    39.644376
116    116    1516799641242674452    30.232468    31.626904    28.117800
117    117    1516799641281683946    30.186586    30.309839    25.634785
118    118    1516799641308512188    30.234898    31.398941    37.274153
119    119    1516799641344000270    30.216521    31.310150    28.178474
120    120    1516799641372128144    30.254045    31.669075    35.551923
121    121    1516799641410095732    30.217221    31.466757    26.338255
122    122    1516799641438186237    30.254408    31.468657    35.599218
123    123    1516799641466210473    30.291574    31.193527    35.683399
124    124    1516799641507002745    30.234573    30.758137    24.514447
125    125    1516799641532347085    30.290761    30.746780    39.456541
126    126    1516799641565468617    30.289980    30.979494    30.191840
127    127    1516799641600910042    30.272592    31.325760    28.215570
128    128    1516799641628665880    30.310129    31.234997    36.028456
129    129    1516799641664502525    30.290042    31.201029    27.904398
130    130    1516799641693552112    30.317834    31.111557    34.423897
131    131    1516799641720776793    30.357991    32.187351    36.731376
132    132    1516799641756219505    30.340660    31.443253    28.214545
133    133    1516799641783956236    30.376579    31.471703    36.053275
134    134    1516799641809173274    30.429322    33.093895    39.655728
135    135    1516799641844732753    30.410974    32.011711    28.121897
136    136    1516799641880092857    30.394261    31.783947    28.280460
137    137    1516799641911558759    30.403870    32.190701    31.780433
138    138    1516799641948602452    30.376276    31.256195    26.995149
139    139    1516799641976296073    30.410764    32.072506    36.109399
140    140    1516799642004123294    30.443961    32.198738    35.936035
141    141    1516799642042745132    30.406317    31.058954    25.892087
142    142    1516799642072309943    30.427817    31.636515    33.823994
143    143    1516799642101464217    30.451692    31.495272    34.300288
