Beat    Tag    Timestamp    Global Rate    Window Rate    Instant Rate
0    0    1516799006935480381    0.000000    0.000000    0.000000
1    1    1516799007138950609    9.829448    4.914724    4.914724
2    2    1516799007343273057    7.356679    4.904453    4.894225
3    3    1516799007545725675    6.554741    4.916056    4.939427
4    4    1516799007747786504    6.155315    4.924252    4.949005
5    5    1516799007949914681    5.914627    4.928855    4.947356
6    6    1516799008152154009    5.753392    4.931479    4.944637
7    7    1516799008357007014    5.627752    4.924284    4.881549
8    8    1516799008572507840    5.497770    4.886907    4.640353
9    9    1516799008775669146    5.434225    4.890802    4.922197
10    10    1516799008977908321    5.385747    4.896133    4.944640
11    11    1516799009184737363    5.335095    4.888095    4.834911
12    12    1516799009387013362    5.302804    4.892990    4.943740
13    13    1516799009596451274    5.261238    4.876323    4.774685
14    14    1516799009799132994    5.238066    4.874846    4.933844
15    15    1516799010001710705    5.218134    4.873779    4.936377
16    16    1516799010204573011    5.200220    4.872299    4.929452
17    17    1516799010407788390    5.183872    4.876190    4.920887
18    18    1516799010610226348    5.170425    4.907449    4.939785
19    19    1516799010813577721    5.157168    4.906991    4.917596
20    20    1516799011016019046    5.146379    4.906505    4.939703
21    21    1516799011218061289    5.137089    4.918056    4.949460
22    22    1516799011420263621    5.128453    4.918234    4.945541
23    23    1516799011622199150    5.120853    4.936449    4.952076
24    24    1516799011825918461    5.112016    4.933921    4.908715
25    25    1516799012028814039    5.104712    4.933147    4.928644
26    26    1516799012234826965    5.094968    4.925492    4.854064
27    27    1516799012438861827    5.087781    4.923505    4.901123
28    28    1516799012653810815    5.071410    4.893363    4.652267
29    29    1516799012856654513    5.066563    4.894578    4.929904
30    30    1516799013058672334    5.062719    4.895594    4.950058
31    31    1516799013261211442    5.058704    4.894403    4.937318
32    32    1516799013463222679    5.055347    4.894861    4.950220
33    33    1516799013676835045    5.043497    4.867043    4.681377
34    34    1516799013879540156    5.040279    4.869446    4.933275
35    35    1516799014082254001    5.037238    4.869877    4.933062
36    36    1516799014285402406    5.034067    4.876680    4.922510
37    37    1516799014488232473    5.031279    4.879547    4.930236
38    38    1516799014690448075    5.029034    4.910055    4.945217
39    39    1516799014893040235    5.026667    4.910661    4.936025
40    40    1516799015099175343    5.022236    4.900753    4.851187
41    41    1516799015301876887    5.020082    4.900362    4.933362
42    42    1516799015509215183    5.015317    4.887603    4.823036
43    43    1516799015713895688    5.012294    4.909034    4.885663
44    44    1516799015916275540    5.010692    4.909818    4.941203
